# rank, country_name
1,United Arab Emirates
2,Spain
3,Singapore
4,France
5,Germany
6,Belgium
7,Finland
8,Italy
9,Denmark
10,Netherlands
11,Luxembourg
12,Portugal
13,Switzerland
14,Greece
15,Austria
16,Norway
17,Ireland
18,Sweden
19,Poland
20,Hungary
21,South Korea
22,Czech Republic
23,Estonia
24,Croatia
25,Slovakia
26,Japan
27,Malta
28,Slovenia
29,Latvia
30,Liechtenstein
31,New Zealand
32,Lithuania
33,Romania
34,Bulgaria
35,Iceland
36,Cyprus
37,United Kingdom
38,Malaysia
39,Canada
40,Australia
41,United States
42,Monaco
43,Brazil
44,Hong Kong
45,Chile
46,Argentina
47,San Marino
48,Andorra
49,Barbados
50,Israel
51,Brunei
52,Bahamas
53,Mexico
54,Uruguay
55,Vatican City
56,Peru
57,Seychelles
58,Saint Kitts and Nevis
59,Ukraine
60,Saint Vincent and the Grenadines
61,Costa Rica
62,Paraguay
63,Antigua and Barbuda
64,Macao
65,Trinidad and Tobago
66,Mauritius
67,Panama
68,Grenada
69,Saint Lucia
70,Solomon Islands
71,Dominica
72,Colombia
73,Serbia
74,Guatemala
75,North Macedonia
76,El Salvador
77,Georgia
78,Samoa
79,Honduras
80,Tuvalu
81,Montenegro
82,Taiwan
83,Kiribati
84,Tonga
85,Marshall Islands
86,Nicaragua
87,Russia
88,Turkey
89,Venezuela
90,Bosnia and Herzegovina
91,Moldova
92,Palau
93,Albania
94,Micronesia
95,Qatar
96,Kuwait
97,South Africa
98,Saudi Arabia
99,Ecuador
100,Timor-Leste
101,Bahrain
102,Belize
103,Maldives
104,Jamaica
105,Oman
106,Guyana
107,Fiji
108,Vanuatu
109,Thailand
110,Kazakhstan
111,Belarus
112,China
113,Kosovo
114,Indonesia
115,Nauru
116,Papua New Guinea
117,Suriname
118,Bolivia
119,Botswana
120,Azerbaijan
121,Morocco
122,Dominican Republic
123,Lesotho
124,Armenia
125,Swaziland
126,Namibia
127,Malawi
128,Tunisia
129,Kenya
130,Philippines
131,Mongolia
132,Tanzania
133,Zambia
134,Uzbekistan
135,Cape Verde
136,Cuba
137,Kyrgyzstan
138,Gambia
139,Ghana
140,Uganda
141,India
142,Rwanda
143,Zimbabwe
144,Tajikistan
145,Sao Tome and Principe
146,Madagascar
147,Benin
148,Vietnam
149,Cambodia
150,Sierra Leone
151,Senegal
152,Mozambique
153,Gabon
154,Algeria
155,Togo
156,Bhutan
157,Burkina Faso
158,Equatorial Guinea
159,Ivory Coast
160,Mauritania
161,Jordan
162,Egypt
163,Turkmenistan
164,Niger
165,Guinea
166,Angola
167,Laos
168,Comoros
169,Djibouti
170,Mali
171,Central African Republic
172,Haiti
173,Guinea-Bissau
174,Chad
175,Cameroon
176,Liberia
177,Lebanon
178,Myanmar
179,Sri Lanka
180,Burundi
181,Congo
182,Ethiopia
183,Iran
184,Nigeria
185,South Sudan
186,Nepal
187,DR Congo
188,Sudan
189,Libya
190,Eritrea
191,North Korea
192,Bangladesh
193,Palestine
194,Yemen
195,Pakistan
196,Somalia
197,Iraq
198,Syria
199,Afghanistan
